日期(年),單位,煤炭進口量_總計,煤炭_澳大利亞,煤炭_印尼,煤炭_俄羅斯,煤炭_加拿大,煤炭_南非,煤炭_哥倫比亞,煤炭_中國大陸,煤炭_美國,煤炭_其他,煤炭_煙煤-煉焦煤_合計,煤炭_煙煤-煉焦煤_澳大利亞,煤炭_煙煤-煉焦煤_加拿大,煤炭_煙煤-煉焦煤_莫三比克,煤炭_煙煤-煉焦煤_俄羅斯,煤炭_煙煤-煉焦煤_印尼,煤炭_煙煤-煉焦煤_美國,煤炭_煙煤-煉焦煤_中國大陸,煤炭_煙煤-煉焦煤_蒙古,煤炭_煙煤-煉焦煤_其他,煤炭_煙煤-燃料煤_合計,煤炭_煙煤-燃料煤_澳大利亞,煤炭_煙煤-燃料煤_印尼,煤炭_煙煤-燃料煤_俄羅斯,煤炭_煙煤-燃料煤_南非,煤炭_煙煤-燃料煤_中國大陸,煤炭_煙煤-燃料煤_加拿大,煤炭_煙煤-燃料煤_美國,煤炭_煙煤-燃料煤_哥倫比亞,煤炭_煙煤-燃料煤_其他,煤炭_亞煙煤_合計,煤炭_亞煙煤_印尼,煤炭_亞煙煤_美國,煤炭_亞煙煤_澳大利亞,煤炭_亞煙煤_其他,煤炭_無煙煤_合計,煤炭_無煙煤_中國大陸,煤炭_無煙煤_俄羅斯,煤炭_無煙煤_越南,煤炭_無煙煤_北韓,煤炭_無煙煤_其他
2002,千公噸,51814,16899,13886,1803,1113,1877,0,15979,110,147,5272,3984,1113,0,176,0,0,0,0,0,41147,12915,8642,1627,1877,15975,0,110,0,0,5244,5244,0,0,0,151,4,0,147,0,0
2003,千公噸,54669,12669,16044,991,1283,1302,0,22265,0,116,5274,3895,1283,0,96,0,0,0,0,0,43788,8563,10903,895,1302,22126,0,0,0,0,5141,5141,0,0,0,467,139,0,102,0,226
2004,千公噸,60511,12651,19444,1424,967,398,0,24706,657,264,5078,3097,967,0,357,0,657,0,0,0,49466,9554,13718,1067,398,24703,0,0,0,27,5726,5726,0,0,0,240,3,0,163,0,74
2005,千公噸,60345,15107,18725,1251,1148,342,0,23463,74,235,4993,3577,1148,0,194,0,74,0,0,0,49474,11530,13018,1056,342,23459,0,0,0,68,5707,5707,0,0,0,171,4,0,79,0,88
2006,千公噸,62431,22332,24211,1364,1250,0,0,13036,0,237,4872,3499,1246,0,127,0,0,0,0,0,51966,18834,18739,1237,0,13032,4,0,0,121,5472,5472,0,0,0,121,4,0,51,0,66
2007,千公噸,65406,25236,23985,1242,1088,580,0,12953,0,323,4495,3353,1088,0,54,0,0,0,0,0,54052,21691,17525,1134,580,12947,0,0,0,175,6460,6460,0,0,0,399,5,54,49,0,291
2008,千公噸,64120,26994,23579,1012,1257,0,0,10756,71,452,4757,3429,1257,0,0,0,71,0,0,0,51902,23564,16264,1012,0,10744,0,0,0,317,7315,7315,0,0,0,147,12,0,37,0,98
2009,千公噸,59055,25420,23643,1837,717,2284,0,4427,77,650,4062,3268,717,0,0,0,77,0,0,0,47669,22152,16423,1837,2284,4420,0,0,0,552,7220,7220,0,0,0,104,6,0,40,0,58
2010,千公噸,63971,28580,23636,1152,880,2576,2079,3913,227,926,5546,4295,880,0,68,77,227,0,0,0,51027,24286,16303,1085,2576,3871,0,0,2079,828,7256,7256,0,0,0,141,43,0,50,0,49
2011,千公噸,67507,27501,26255,3509,1098,4685,947,2004,255,1254,6060,4272,1024,0,54,307,255,0,148,0,48127,23228,13003,3449,4685,1822,75,0,947,919,12945,12945,0,0,0,375,182,6,42,0,145
