日期(年),單位,液化天然氣進口量合計,卡達,澳大利亞,俄羅斯,巴布亞紐幾內亞,印尼,美國,馬來西亞,汶萊,奈及利亞,其他
2002,千公噸,5242,0,0,0,0,3412,0,1831,0,0,0
2003,千公噸,5531,0,0,0,0,3398,0,2132,0,0,0
2004,千公噸,6877,0,0,0,0,4019,0,2739,0,0,119
2005,千公噸,7101,0,360,0,0,3642,0,2979,0,0,119
2006,千公噸,7783,373,183,0,0,3307,0,3319,0,0,601
2007,千公噸,8286,429,243,0,0,3372,0,3000,0,124,1118
2008,千公噸,9033,749,0,0,0,3073,0,2749,0,1616,846
2009,千公噸,8788,1181,444,182,0,2848,0,2733,0,680,721
2010,千公噸,10951,2612,818,493,0,1965,0,2799,0,831,1433
2011,千公噸,11984,3877,335,186,0,1958,0,3321,0,660,1648
2012,千公噸,12488,5784,247,0,0,1898,0,2795,0,1159,607
2013,千公噸,12547,6107,60,64,0,1959,0,2928,61,570,797
2014,千公噸,13277,5824,75,64,977,2146,0,2834,625,117,616
2015,千公噸,14229,6620,254,252,1371,2349,157,2305,675,59,188
2016,千公噸,14845,6210,263,1267,1344,2022,0,2555,302,486,397
2017,千公噸,16508,5089,1012,1658,1847,2148,164,3001,427,494,669
2018,千公噸,16808,4833,2563,2301,1153,1142,254,2799,679,184,902
2019,千公噸,16581,4667,4394,1478,1451,351,505,2479,246,204,807
2020,千公噸,17749,4959,4728,2401,1624,1134,1007,709,254,391,541
2021,千公噸,19439,4765,6265,1893,1434,1171,1761,495,60,583,1012
2022,千公噸,19958,5203,7374,1093,1311,1101,2105,600,59,270,843
